"country"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"decade"	"continent"
"Uganda"	0.205141496666667	7.43202916666667	3.92803623333333	0.58189689	0.0826856766666667	0.44101538	"2000-2009"	"Africa"
"Uganda"	0.2070276	6.6612047	4.0671842	0.581850753333333	0.0927851733333333	0.4215524	"2010-2019"	"Africa"
"Zambia"	0.207835255	4.237616175	3.762812175	0.57442402	0.09619905	0.52350884	"1990-1999"	"Africa"
"Zambia"	0.208158566666667	4.18080376666667	3.7983567	0.574496423333333	0.09423488	0.502972966666667	"2000-2009"	"Africa"
"Zambia"	0.210468415	4.1461402	3.8962746	0.57450137	0.106916903	0.53924347	"2010-2019"	"Africa"
"Belize"	0.268234246666667	3.22239788333333	4.0442656	0.905966241666667	0.176833696666667	0.576818763333333	"1990-1999"	"America"
"Bolivia"	0.262168525	3.6129309	5.62900585	0.88816493	0.19801913	0.5808807	"1990-1999"	"America"
"Bolivia"	0.263241142222222	3.51772318888889	5.62367431111111	0.88767503	0.203997577777778	0.558833644444444	"2000-2009"	"America"
"Bolivia"	0.265844252222222	3.42531303333333	5.71804535555556	0.887216613333333	0.22631192	0.454323958888889	"2010-2019"	"America"
"Brazil"	0.27419340625	4.0973383125	6.3440818125	1.11268555	0.20271586625	0.58906804875	"1990-1999"	"America"
"Brazil"	0.275114647777778	4.39367488888889	8.39991205555556	1.11231624444444	0.210665247777778	0.561247732222222	"2000-2009"	"America"
"Brazil"	0.277946472222222	3.845776	7.62546422222222	1.1120393	0.229431971111111	0.530113495555556	"2010-2019"	"America"
"Canada"	0.288512043	3.38159439	4.22118543	0.776207119	0.405538303	0.32152557	"1990-1999"	"America"
"Canada"	0.288443826	3.31239207	3.55649597	0.796707297	0.416601386	0.33755541	"2000-2009"	"America"
"Canada"	0.288491019	3.2270913	4.32474533	0.805352485	0.425952437	0.330760708	"2010-2019"	"America"
"Chile"	0.31293589	4.28625132	5.38085616	0.942362974	0.281601748	0.557696576	"1990-1999"	"America"
"Chile"	0.315594775	3.981811325	5.5114705	0.9772285	0.312035205	0.4983625175	"2000-2009"	"America"
"Chile"	0.31784266	3.674393175	5.5048114	0.9952930725	0.3444998925	0.4607633125	"2010-2019"	"America"
"Colombia"	0.276176826666667	2.4956463	4.817743	0.741596143333333	0.185574146666667	0.555565913333333	"1990-1999"	"America"
"Colombia"	0.276552495	2.5371649125	5.0076649875	0.74121135625	0.190137825	0.55472163875	"2000-2009"	"America"
"Colombia"	0.279880487	2.20364876	4.24950724	0.740244576	0.210488397	0.51889653	"2010-2019"	"America"
"Costa Rica"	0.28186087	3.09164582	4.03635485	0.870874137	0.194520296	0.461030851	"1990-1999"	"America"
"Costa Rica"	0.28342305	3.16560797	4.05557581	0.871202847	0.206321122	0.49374719	"2000-2009"	"America"
"Costa Rica"	0.285957705	3.20048349	4.15942237	0.872384448	0.22703565	0.484586973	"2010-2019"	"America"
"Dominican Republic"	0.267849046666667	3.80861786666667	4.4534852	0.91300231	0.178511403333333	0.49124387	"1990-1999"	"America"
"Dominican Republic"	0.271500955	3.95743675	4.43877273	0.911071248	0.192962849	0.503117704	"2000-2009"	"America"
"Dominican Republic"	0.275479793	3.82134368	4.4857334	0.910202411	0.21586177	0.451801669	"2010-2019"	"America"
"Ecuador"	0.271735535	3.3133481	5.09515915	0.908479375	0.24602613	0.5595053	"1990-1999"	"America"
"Ecuador"	0.27303061375	3.3580981375	5.1101815	0.908431605	0.25207623	0.52580010625	"2000-2009"	"America"
"Ecuador"	0.275490808	3.33666653	5.19330557	0.908034336	0.275799981	0.459420027	"2010-2019"	"America"
"El Salvador"	0.264117368	3.66841696	4.23259962	0.825031206	0.1628125	0.52211835	"1990-1999"	"America"
"El Salvador"	0.26607238	3.5201061	4.28216091	0.826333695	0.174960856	0.484987999	"2000-2009"	"America"
"El Salvador"	0.268502606	3.42641854	4.39463599	0.826297626	0.190975612	0.408505104	"2010-2019"	"America"
"Guatemala"	0.2607699	4.125211	4.092411	0.80108273	0.16910473	0.493976	"1990-1999"	"America"
"Guatemala"	0.26154032	4.1980031	4.11586045	0.80145835	0.17268896	0.543708385	"2000-2009"	"America"
"Guatemala"	0.26307926	3.711947	4.2434835	0.8009678	0.18062517	0.4827621	"2010-2019"	"America"
"Guyana"	0.255394165	4.71099715	4.3272288	0.8698713	0.151096895	0.42253492	"1990-1999"	"America"
"Honduras"	0.259283318	3.05694053	3.89261302	0.811097115	0.147460564	0.544404317	"1990-1999"	"America"
"Honduras"	0.259742171111111	3.14875457777778	3.92484108888889	0.81150592	0.151623693333333	0.563145585555556	"2000-2009"	"America"
"Honduras"	0.261423211	3.16572097	4.05013095	0.81202857	0.161877865	0.504439257	"2010-2019"	"America"
"Jamaica"	0.2752755775	2.954535775	3.916450525	0.9448566275	0.1870496175	0.403152045	"1990-1999"	"America"
"Jamaica"	0.27644393	2.9463842	3.9159961	0.94462515	0.189395085	0.468866065	"2000-2009"	"America"
"Jamaica"	0.27624235	2.9948797	4.049934	0.94370544	0.19330949	0.3563868	"2010-2019"	"America"
"Mexico"	0.2815734575	3.1115309	2.94931625	0.9156325875	0.2305132625	0.52746948	"1990-1999"	"America"
"Mexico"	0.282347596666667	3.23842751666667	3.55300616666667	0.915989056666667	0.235230708333333	0.50973132	"2000-2009"	"America"
"Mexico"	0.284284342	3.51900722	3.56498272	0.91529164	0.23882468	0.478070006	"2010-2019"	"America"
"Nicaragua"	0.26836158	3.30591175	4.2260563	0.85336638	0.14453232	0.557521	"1990-1999"	"America"
"Nicaragua"	0.26865898	3.35054986666667	4.24497666666667	0.852797473333333	0.14793015	0.485455646666667	"2000-2009"	"America"
"Nicaragua"	0.27037218	3.2699616	4.3318067	0.8520018	0.15623362	0.46156293	"2010-2019"	"America"
"Panama"	0.27943846	2.96485564	3.50118624	0.849791264	0.203577958	0.575112114	"1990-1999"	"America"
