"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"	"pop"
"Brazil"	1993	43497011.0750625	629611509.338362	955872531.348	176297304.209288	31962985.9444612	0.600656	158440875
"Brazil"	1995	44898326.5492173	651093296.226874	996899877.740531	181953872.337395	33035623.0740864	0.59530365	163515328
"Brazil"	1996	45567908.5138802	669538800.147169	1031763144.00122	184760447.49574	33588522.7646417	0.5983732	166037122
"Brazil"	1997	46207686.4921952	698143551.292859	1093295305.59159	187549589.754068	34221782.3806275	0.59753734	168546707
"Brazil"	1998	46834110.5792898	731075263.197396	1169965623.77885	190316862.2138	34881977.3556228	0.5956541	171039804
"Brazil"	1999	47457640.5805087	761456616.306026	1249307758.61753	193029250.325228	35540531.3752336	0.5895037	173486281
"Brazil"	2001	48763136.8326845	796401986.194969	1383029787.09949	198261448.281212	36702597.8866828	0.5840255	178211881
"Brazil"	2002	49446285.6638605	810202972.892715	1453377841.92157	200768400.60129	37320822.4198549	0.58105445	180476685
"Brazil"	2003	50115921.1155252	823163118.43662	1520495577.47763	203151969.171333	37919061.3101508	0.57553095	182629278
"Brazil"	2004	50767861.0214534	834874178.871832	1575942809.8674	205470891.063362	38532676.4340205	0.564716	184722043
"Brazil"	2005	51394428.4508898	844699225.524006	1610827382.82626	207772227.563125	39141780.4865476	0.56309944	186797334
"Brazil"	2006	52004735.4403125	843550845.506949	1628509273.88039	210017219.709615	39863405.0901328	0.5564207	188820682
"Brazil"	2007	52618213.2038445	828120759.564519	1640515759.5977	212191718.453072	40637126.1942383	0.54918945	190779453
"Brazil"	2008	53220864.5219689	806223823.42431	1649295456.7856	214294120.01713	41516017.4107726	0.5403744	192672317
"Brazil"	2009	53803456.7946255	786519921.618031	1657572540.51379	216344207.559251	42381726.7230562	0.5368187	194517549
"Brazil"	2011	54916437.6808188	778581918.554201	1658887279.08127	220417253.533635	44098980.5069918	0.5294164	198185302
"Brazil"	2012	55478375.4135196	779713199.579624	1617597874.35294	222406106.739731	45051743.7475778	0.53435296	199977707
"Brazil"	2013	56032642.5253826	781499233.808978	1564716410.87443	224340425.290176	46006405.0236515	0.5268333	201721767
"Brazil"	2014	56578051.333614	783944884.00445	1521677367.32545	226266927.423945	46862977.1565005	0.5202964	203459650
"Brazil"	2015	57100608.8033943	787060998.814282	1510267469.27021	228181431.101736	47513969.6399484	0.51926446	205188205
"Brazil"	2016	57599935.7213321	789281304.531487	1525207111.24986	230030312.364978	47903500.5695627	0.533671	206859578
"Brazil"	2017	58072989.113664	792937690.72128	1541000526.94144	231849717.434496	48243102.0063488	0.53321064	208504960
"Brazil"	2018	58478723.920713	798915639.599603	1555170361.32218	233686230.227424	48709449.3448128	0.5388832	210166592
"Brazil"	2019	58800107.7205613	805104534.093031	1569335269.22809	235471449.431222	49220632.33794	0.5350931	211782878
"Bulgaria"	1992	2419521.71979088	25592466.5978176	29323498.570236	3987427.93588708	1135077.72352692	0.3071431	8540164
"Bulgaria"	2006	2155991.1250878	21167858.13714	25529116.2927372	3548624.68447344	1003168.0615671	0.3568935	7601022
"Bulgaria"	2007	2143851.75511016	20842351.341316	25532691.894214	3522430.27973816	1013712.99125804	0.36095893	7545338
"Bulgaria"	2008	2132877.81917966	20544931.934684	25570675.1183124	3497463.63818028	1025869.31417118	0.33572584	7492561
"Bulgaria"	2009	2123005.5102957	20284764.9419271	25572972.6714123	3474534.90583638	1037645.77199904	0.3382308	7444443
"Bulgaria"	2010	2112134.2634466	20051623.2269887	25448368.5721048	3451152.13181456	1047452.95987607	0.3565347	7395599
"Bulgaria"	2011	2101643.99995056	19843163.3307232	25226614.5584752	3428488.8196416	1052470.37691224	0.34275046	7348328
"Bulgaria"	2012	2093150.4278928	19649146.3242048	25003225.432032	3408256.2949872	1057432.16533824	0.36011046	7305888
"Bulgaria"	2013	2085204.6827469	19481076.7627905	24782551.052688	3388968.365211	1065975.81465375	0.36570963	7265115
"Bulgaria"	2014	2076695.7973996	19335339.61297	24570955.8610934	3369606.74697256	1070512.91608108	0.37415925	7223938
"Bulgaria"	2015	2065869.30842546	19184765.1301137	24366767.14815	3348064.7964868	1074323.4527781	0.38564444	7177991
"Bulgaria"	2016	2053632.00786068	19088237.4633444	24174574.2620668	3324576.556795	1080439.8918443	0.40589708	7127822
"Bulgaria"	2017	2040115.59892059	19005248.5447809	23992388.7270855	3300319.3288686	1086625.86763458	0.40378964	7075947
"Bulgaria"	2018	2025181.31937924	18887123.1836391	23832692.3288394	3276520.60127829	1091057.37246408	0.41284075	7025037
"Bulgaria"	2019	2009682.07456783	18776381.0387166	23699238.3582656	3253477.83978555	1094926.53801999	0.40271127	6975761
"Burkina Faso"	1994	2064492.8669316	43278120.3531768	30907118.4364488	5402437.6570248	780065.49191928	0.4802524	10091256
"Burkina Faso"	1998	2296909.24460836	47676815.0111335	34364931.8506969	5996455.473861	875169.003832462	0.49877948	11201063
"Burkina Faso"	2003	2680332.6279814	56444149.7517786	40066299.6274716	6975893.0123134	1052254.88462206	0.4325128	13030591
"Burkina Faso"	2009	3217048.57036224	67996021.5253272	48161362.052778	8378276.0552517	1324394.22326562	0.39761	15650022
"Burkina Faso"	2014	3743417.1687633	82150732.4675928	56472732.003495	9727212.1958106	1601855.9961963	0.35301226	18169842
"Burkina Faso"	2018	4227847.67824497	91564529.440657	63764647.3933482	10917072.1434679	1878006.44258877	0.43016732	20392723
"Burundi"	1992	1161146.2290977	31808034.3479795	20494015.04378	3326808.50641255	446900.05449305	0.3333381	5743085
"Burundi"	1998	1213961.9878218	32504900.604342	21559364.295648	3496333.418934	444426.5646558	0.42059556	6035340
"Burundi"	2006	1538666.0741268	37907531.230365	27185517.66978	4436919.7966575	530552.2810833	0.33359864	7658190
"Burundi"	2013	2029848.61578334	47801960.126173	36301553.5941736	5880737.9907544	717372.40684731	0.38623992	10149577
"Cameroon"	1996	2887645.1789472	61537893.96468	43109092.977552	7255661.113407	1422687.71055096	0.44446665	13575324
"Cameroon"	2001	3277748.57643422	71338993.30356	49270352.6026251	8280770.3411027	1586378.28217167	0.42136794	15493253
"Cameroon"	2007	3873601.55200104	84391817.1921224	58120992.0398358	9755139.43262564	1913215.64174786	0.42820063	18251866
"Cameroon"	2014	4727238.85008375	102673733.920065	71375724.4926495	11918053.342503	2406570.7672083	0.46640873	22299585
"Canada"	1990	7991569.10766494	91275108.1703024	122816012.16898	21492862.7731637	11267638.4165999	0.31365362	27691138
