"country"	"year"	"schizophrenia"	"depression"	"anxiety"	"bipolar"	"ed"	"gini"
"Bulgaria"	2007	0.28412932	2.762282	3.383903	0.46683532	0.13434958	0.36095893
"Bulgaria"	2008	0.28466606	2.742044	3.4128084	0.46679148	0.13691838	0.33572584
"Bulgaria"	2009	0.2851799	2.7248197	3.4351761	0.46672866	0.13938528	0.3382308
"Bulgaria"	2010	0.2855934	2.7112913	3.4410152	0.46664944	0.14163193	0.3565347
"Bulgaria"	2011	0.28600302	2.7003644	3.4329734	0.4665672	0.14322583	0.34275046
"Bulgaria"	2012	0.28650185	2.6894946	3.422339	0.46650815	0.14473698	0.36011046
"Bulgaria"	2013	0.28701606	2.6814547	3.4111712	0.4664714	0.14672525	0.36570963
"Bulgaria"	2014	0.2874742	2.676565	3.4013243	0.46645012	0.14818966	0.37415925
"Bulgaria"	2015	0.28780606	2.6727207	3.39465	0.4664348	0.1496691	0.38564444
"Bulgaria"	2016	0.28811494	2.6779902	3.3915794	0.4664225	0.15158065	0.40589708
"Bulgaria"	2017	0.28831697	2.6858947	3.3906965	0.4664138	0.15356614	0.40378964
"Bulgaria"	2018	0.28828052	2.6885443	3.3925362	0.46640617	0.15530984	0.41284075
"Bulgaria"	2019	0.28809503	2.6916606	3.3973696	0.46639755	0.15696159	0.40271127
"Burkina Faso"	1994	0.20458235	4.2886753	3.0627623	0.5353583	0.07730113	0.4802524
"Burkina Faso"	1998	0.20506172	4.2564545	3.0680063	0.535347	0.078132674	0.49877948
"Burkina Faso"	2003	0.2056954	4.3316646	3.0747876	0.5353474	0.08075266	0.4325128
"Burkina Faso"	2009	0.20556192	4.3447876	3.077399	0.53535235	0.08462571	0.39761
"Burkina Faso"	2014	0.20602365	4.5212684	3.1080475	0.5353493	0.08816015	0.35301226
"Burkina Faso"	2018	0.20732139	4.490059	3.1268334	0.53534156	0.09209199	0.43016732
"Burundi"	1992	0.20218162	5.5384927	3.568468	0.57927203	0.07781533	0.3333381
"Burundi"	1998	0.20114227	5.3857613	3.5721872	0.5793101	0.07363737	0.42059556
"Burundi"	2006	0.20091772	4.9499335	3.549862	0.57936925	0.06927907	0.33359864
"Burundi"	2013	0.19999342	4.709749	3.5766568	0.5794072	0.07068003	0.38623992
"Cameroon"	1996	0.2127128	4.53307	3.175548	0.53447425	0.10479954	0.44446665
"Cameroon"	2001	0.21155974	4.60452	3.1801167	0.5344759	0.102391556	0.42136794
"Cameroon"	2007	0.21223044	4.6237364	3.1843863	0.53447354	0.104823016	0.42820063
"Cameroon"	2014	0.21198775	4.604289	3.2007647	0.5344518	0.10791998	0.46640873
"Canada"	1990	0.28859663	3.2961848	4.43521	0.77616394	0.40690413	0.31365362
"Canada"	1991	0.28857455	3.3140678	4.4366374	0.77616173	0.4054281	0.31943396
"Canada"	1992	0.28855094	3.331602	4.4363413	0.77616453	0.4047341	0.3156432
"Canada"	1993	0.28852758	3.3510926	4.434514	0.77617514	0.40461594	0.31675926
"Canada"	1994	0.28850457	3.368164	4.431448	0.7761927	0.40458524	0.3130381
"Canada"	1995	0.28848547	3.382865	4.427275	0.77621025	0.40443742	0.3150958
"Canada"	1996	0.28847346	3.402566	4.315892	0.7762281	0.4048701	0.32768053
"Canada"	1997	0.28846914	3.430521	4.0566773	0.7762438	0.4056903	0.33116943
"Canada"	1998	0.28846955	3.4583545	3.7482839	0.776256	0.4063845	0.33217245
"Canada"	1999	0.28846854	3.4805262	3.4895754	0.776275	0.4077332	0.33060935
"Canada"	2000	0.28846446	3.4845788	3.379351	0.776287	0.40892968	0.33418295
"Canada"	2001	0.28845954	3.4643402	3.377236	0.779328	0.4102713	0.33554783
"Canada"	2002	0.28845757	3.42046	3.3768122	0.7865573	0.41235426	0.3356031
